perkara_id;tanggal_putusan;jenis_perkara_nama;umur_p;umur_t;lama_pernikahan_bulan;faktor;kecamatan_p;kabupaten_p;kecamatan_t;kabupaten_t
25988;16/03/2021;Cerai Gugat;22;21;52;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Taman;Kabupaten Sidoarjo Sekarang tidak diketahui alamat dan tempat tinggalnya dengan jelas
27064;16/03/2021;Cerai Gugat;36;38;164;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Taman;Kabupaten Sidoarjo
25837;16/03/2021;Cerai Gugat;42;46;237;Meninggalkan Salah Satu Pihak;Kecamatan Jabon Kabupaten Sidoarjo;Kabupaten Sidoarjo;Kecamatan Jabon Kabupaten Sidoarjo;Kabupaten Sidoarjo
27131;16/03/2021;Cerai Gugat;41;52;234;Peselisihan dan Pertengkaran Terus Menerus;Kec. Jambangan Kota Surabaya saat ini berada di Perum Tanggulangin Executip Blok G-9 RT. 001 RW. 010 Desa Kalitengah Kec. Tanggulangin Kab. Sidoarjo;Kab. Sidoarjo;Kec. Jambangan Kota Surabaya;Kota Surabaya
27397;17/03/2021;Cerai Talak;42;;266;Peselisihan dan Pertengkaran Terus Menerus;Wringinanom;Kabupaten Gresik.;Kecamatan Krian;Kabupaten Sidoarjo
27147;17/03/2021;Cerai Gugat;36;;185;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Jabon;Kab. Sidoarjo;Kraton;Kab. Pasuruan
27406;17/03/2021;Cerai Gugat;49;55;377;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Wonoayu;Kabupaten Sidoarjo;Kecamatan Balongbendo;Kabupaten Sidoarjo
27410;17/03/2021;Cerai Gugat;25;30;54;Kekerasan Dalam Rumah Tangga;Kecamatan Krian;Kabupaten Sidoarjo;Kecamatan Krian;Kabupaten Sidoarjo
26402;17/03/2021;Cerai Gugat;43;52;237;Peselisihan dan Pertengkaran Terus Menerus;Kec. Buduran kab Sidoarjo berdomisili di Boro RT.3 Rw.2 kec. tanggulangin sidoarjo;Kel. Sidokerto Kec. Buduran kab Sidoarjo berdomisili di Boro RT.3 Rw.2 kec. tanggulangin sidoarjo;Kec.Buduran;Kab.Sidoarjo
26658;17/03/2021;Cerai Talak;48;42;226;Peselisihan dan Pertengkaran Terus Menerus;"Kec. Sukodono Kab. Sidoarjo
 Alamat Sekarang : Perum. Pondok Jati Blok BE/10 Ds. Pagerwojo 
  Kec. Buduran Kab. Sidoarjo";"Kab. Sidoarjo
 Alamat Sekarang : Perum. Pondok Jati Blok BE/10 Ds. Pagerwojo 
  Kec. Buduran Kab. Sidoarjo";"Kec. Buduran 
  Kab. Sidoarjo (rumah bersama/kediaman bersama yang dibeli dan 
  dibangun oleh Pemohon selama pernikahan dengan Termohon)";"Kab. Sidoarjo (rumah bersama/kediaman bersama yang dibeli dan 
  dibangun oleh Pemohon selama pernikahan dengan Termohon)"
26916;17/03/2021;Cerai Talak;44;39;241;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian;Kabupaten Sidoarjo.;Kecamatan Krian;Kabupaten Sidoarjo
27435;17/03/2021;Cerai Gugat;32;28;34;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian;Kab. Sidoarjo;Kecamatan Krian;Kab. Sidoarjo
26692;17/03/2021;Cerai Gugat;31;31;124;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tanggulangin;Kabupaten Sidoarjo;Kecamatan Tanggulangin;Kabupaten Sidoarjo
25957;17/03/2021;Cerai Gugat;26;26;43;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Balongbendo  Kabupaten Sidoarjo;Kabupaten Sidoarjo;Kecamatan Balongbendo  Kabupaten Sidoarjo;Kabupaten Sidoarjo
27244;17/03/2021;Cerai Talak;31;27;107;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sukodono;Kabupaten Sidoarjo;Kecamatan Bangsal;Kabupaten Mojokerto
27245;17/03/2021;Cerai Gugat;22;28;19;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Waru;Kabupaten Sidoarjo;Kecamatan Krembangan;Kota Surabaya
26751;17/03/2021;Cerai Gugat;33;39;84;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian;Kab. Sidoarjo;Kecamatan Krian;Kab. Sidoarjo
27021;17/03/2021;Cerai Gugat;33;40;189;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Tegalsari;"Kota Surabaya;"
25810;17/03/2021;Cerai Gugat;27;28;103;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Buduran;Kabupaten Sidoarjo;Kecamatan Buduran;Kabupaten Sidoarjo
25839;17/03/2021;Cerai Talak;43;42;280;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sedati;Kabupaten Sidoarjo;Kecamatan Sedati;Kabupaten Sidoarjo
27146;18/03/2021;Cerai Talak;17;;8;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Balongbendo;Kab. Sidoarjo;Kecamatan Krian;Kab. Sidoarjo
27408;18/03/2021;Cerai Talak;34;30;79;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kabupaten Sidoarjo;Kecamatan Sukodono;Kabupaten Sidoarjo
27156;18/03/2021;Cerai Gugat;30;33;39;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tulangan;Kabupaten Sidoarjo;Kecamatan Tanggulangin;Kabupaten Sidoarjo
27417;18/03/2021;Cerai Talak;38;26;86;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian Kabupaten Sidoarjo (Rumah Orangtua Pemohon/ Bpk. Abdul Ghofur);Kabupaten Sidoarjo (Rumah Orangtua Pemohon/ Bpk. Abdul Ghofur);Kecamatan Krian Kabupaten Sidoarjo (Rumah Orangtua Termohon/ Ibu Khoiriyah);Kabupaten Sidoarjo (Rumah Orangtua Termohon/ Ibu Khoiriyah)
26653;18/03/2021;Cerai Talak;35;33;105;Meninggalkan Salah Satu Pihak;Kecamatan Sukodono;Kabupaten Sidoarjo (sesuai KTP) sekarang berdomisili di Perum. Graha Mutiara Blok B-9 No. 20 RT. 43 RW. 09 kelurahan Kebon Agung;Kecamatan Sukodono;Kabupaten Sidoarjo
27427;18/03/2021;Cerai Gugat;55;67;9;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sedati;Kabupaten Sidoarjo;Kecamatan Waru;Kabupaten Sidoarjo
25896;18/03/2021;Cerai Gugat;54;64;467;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kabupaten Sidoarjo;Kecamatan Tarik;Kabupaten Sidoarjo Sekarang tidak diketahui alamat dan tempat tinggalnya dengan jelas
27441;18/03/2021;Cerai Gugat;34;;171;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Balongbendo;Kab. Sidoarjo;Kecamatan Balongbendo;Kab. Sidoarjo
27186;18/03/2021;Cerai Gugat;49;52;22;Meninggalkan Salah Satu Pihak;Kecamatan Candi;Kabupaten Sidoarjo;Kecamatan Candi;Kabupaten Sidoarjo
27187;18/03/2021;Cerai Talak;36;;112;Ekonomi;Kecamatan Wonoayu;Kab. Sidoarjo;Kecamatan Waru;Kab. Sidoarjo
27443;18/03/2021;Cerai Talak;26;20;13;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tulangan;Kabupaten Sidoarjo.;Kecamatan Krembung;Kabupaten Sidoarjo.
25910;18/03/2021;Cerai Talak;36;36;147;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Buduran;"Kabupaten Sidoarjo.
(Alamat Sekarang) Jalan Hayam Wuruk Baru I/No. 17";Kecamatan Buduran;Kabupaten Sidoarjo. Sekarang tidak diketahui alamat dan tempat tinggalnya dengan jelas
27451;18/03/2021;Cerai Gugat;24;31;34;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tulangan;Kabupaten Sidoarjo;Kecamatan Sidoarjo;Kabupaten Sidaoarjo
27454;18/03/2021;Cerai Gugat;53;60;334;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kabupaten Sidoarjo;Kecamatan Prambon;Kabupaten Sidaoarjo
27458;18/03/2021;Cerai Gugat;40;39;206;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tulangan;Kabupaten Sidoarjo;Kecamatan Candi;Kabupaten Sidoarjo
27209;18/03/2021;Cerai Gugat;27;29;35;Peselisihan dan Pertengkaran Terus Menerus;Sidoarjo;Kab. Sidoarjo;Sukun;Kota Malang
25934;18/03/2021;Cerai Gugat;51;49;83;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krembung;Kabupaten Sidoarjo;Kecamatan Krembung;Kabupaten Sidoarjo
27471;18/03/2021;Cerai Gugat;42;46;241;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kab. Sidoarjo;Kecamatan Taman;Kab. Sidoarjo
25940;18/03/2021;Cerai Talak;33;33;118;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sedati;"Kabupaten Sidoarjo
(Alamat Sekarang) Jalan Mulyorejo Selatan Baru No.65";Kecamatan Sedati;"Kabupaten Sidoarjo.
Sekarang tidak diketahui alamat dan tempat tinggalnya dengan jelas"
26708;18/03/2021;Cerai Gugat;22;32;21;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Porong;Kabupaten Sidoarjo;Kecamatan Candi;Kabupaten Sidoarjo
26964;18/03/2021;Cerai Gugat;50;53;363;Ekonomi;Buduran;Kab. Sidoarjo;Kecamatan Wonoayu;Kab. Sidoarjo
25220;18/03/2021;Cerai Talak;44;42;245;Meninggalkan Salah Satu Pihak;Kecamatan TambakSari Kota Surabaya.  Dan / sekarang Tinggal di Perumahan Mitra Residence Blok D-4 RT )4 RW 02 Desa/ Kel. Tambak Sumur Kec. Waru kab. Sidoarjo.;kab. Sidoarjo.;Kecamatan Waru  Kabupaten Sidoarjo;Kabupaten Sidoarjo
26786;18/03/2021;Cerai Gugat;38;45;260;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian;Kab. Sidoarjo;Batealit;Kab. Jepara
27299;18/03/2021;Cerai Talak;30;30;62;Meninggalkan Salah Satu Pihak;Kecamatan Sedati;Kabupaten Sidoarjo;Kecamatan Sedati;Kabupaten Sidoarjo
27307;18/03/2021;Cerai Gugat;31;36;4;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian;Kabupaten Sidoarjo;Kecamatan Mojoanyar;Kabupaten Mojokerto
27052;18/03/2021;Cerai Talak;25;25;49;Peselisihan dan Pertengkaran Terus Menerus;Kec. Candi-Sidoarjo;Perum Candiloka C-3 RT. 007 RW. 005 Desa Ngampelsari Kec. Candi-Sidoarjo;Kec. Sidayu Kab. Gresik;Kab. Gresik
27310;18/03/2021;Cerai Talak;66;53;72;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Balongbendo;Kabupaten Sidoarjo;Kecamatan Tarik;Kabupaten Sidoarjo
26800;18/03/2021;Cerai Gugat;44;38;89;Meninggalkan Salah Satu Pihak;Kecamatan Buduran;KAB.SIDOARJO;0;Kabupaten Sidoarjo Jawa Timur
27058;18/03/2021;Cerai Gugat;25;29;65;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Porong;Kab. Sidoarjo;Srono;Kab. Banyuwangi
27323;18/03/2021;Cerai Gugat;34;38;201;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sukodono;Kabupaten Sidaoarjo;Kecamatan Sukodono;Kabupaten Sidaoarjo
27326;18/03/2021;Cerai Gugat;44;45;275;Meninggalkan Salah Satu Pihak;Kecamatan Jabon Kabupaten Sidoarjo;Kabupaten Sidoarjo;"Kecamatan Jabon 
  Kabupaten Sidoarjo (Rumah adik Tergugat bernama Bpk. Soni / 
  Ibu Sambung Tergugat Ibu Kotipah ).";"Kabupaten Sidoarjo (Rumah adik Tergugat bernama Bpk. Soni / 
  Ibu Sambung Tergugat Ibu Kotipah )."
27330;18/03/2021;Cerai Gugat;26;31;37;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krembung;Kabupaten Sidoarjo;Kecamatan Candi;Kabupaten Sidaoarjo
27339;18/03/2021;Cerai Gugat;27;34;97;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Taman;Kabupaten Sidaoarjo
26590;18/03/2021;Cerai Gugat;29;44;110;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan;Kabupaten Sidoarjo Alamat Sekarang Jalan Kombespol M. Duryat Gang I Nomor 15A;Kecamatan Gedangan;Kabupaten Sidoarjo
27109;18/03/2021;Cerai Gugat;25;42;55;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Jabon;Kabupaten Sidoarjo;Kecamatan Sawoo;Kabupaten Ponorogo
25835;18/03/2021;Cerai Talak;32;28;91;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian Kabupaten Sidoarjo;Kabupaten Sidoarjo;Kecamatan Krian Kabupaten Sidoarjo;Kabupaten Sidoarjo
27117;18/03/2021;Cerai Gugat;43;44;89;Meninggalkan Salah Satu Pihak;Kecamatan Sedati;Kabupaten Sidoarjo;Kecamatan Cilincing;Kota Jakarta Utara
27379;18/03/2021;Cerai Gugat;26;43;58;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Sawahan;Kota Surabaya
25847;18/03/2021;Cerai Gugat;24;29;48;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tulangan;Kabupaten Sidoarjo;Kecamatan Tulangan;Kabupaten Sidoarjo Sekarang tidak diketahui alamat dan tempat tinggalnya dengan jelas
25850;18/03/2021;Cerai Gugat;33;33;105;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sidoarjo;Kabupaten Sidoarjo;Kecamatan Sidoarjo;Kabupaten Sidoarjo
27133;18/03/2021;Cerai Gugat;27;30;11;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sedati;Kabupaten Sidoarjo;Kecamatan Puri;Kabupaten Mojokerto
27648;22/03/2021;Cerai Gugat;24;;65;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kab. Sidoarjo;Sambutan;Kota Samarinda
26420;22/03/2021;Cerai Gugat;32;33;103;Peselisihan dan Pertengkaran Terus Menerus;Sidokumpul,Sidoarjo;Sidoarjo;Sidokumpul,Sidoarjo;Sidoarjo
27445;22/03/2021;Cerai Gugat;37;46;39;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kabupaten Sidoarjo;Kecamatan Tanggulangin;Kabupaten Sidaoarjo
27447;22/03/2021;Cerai Gugat;30;32;27;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sukodono;Taman Aloha G3 No 24 Desa Soko Kecamatan Sukodono;Kecamatan Buduran;Park Royal Regency B1 No. 2 Kelurahan Sidokerto Kecamatan Buduran
27460;22/03/2021;Cerai Gugat;40;46;177;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sukodono;Kabupaten Sidoarjo;Kecamatan Sukodono;Kabupaten Sidoarjo
27461;22/03/2021;Cerai Gugat;28;33;113;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tanggulangin;Kabupaten Sidoarjo;Kecamatan Jabon;Kabupaten Sidoarjo
27220;22/03/2021;Cerai Gugat;24;27;72;Peselisihan dan Pertengkaran Terus Menerus;Kec. Tarik; Kab            Sidoarjo;Kec. Tarik; Kab            Sidoarjo.
27478;22/03/2021;Cerai Gugat;25;32;23;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman Kabupaten Sidoarjo. (Rumah Orangtua Penggugat).;Kabupaten Sidoarjo. (Rumah Orangtua Penggugat).;Kecamatan Waru Kabupaten Sidoarjo. (Rumah Orangtua Tergugat);Kabupaten Sidoarjo. (Rumah Orangtua Tergugat)
27480;22/03/2021;Cerai Gugat;45;44;266;Ekonomi;Kecamatan Sidoarjo Kabupaten Sidoarjo;Kabupaten Sidoarjo;Kecamatan Sidoarjo Kabupaten Sidoarjo;Kabupaten Sidoarjo
27482;22/03/2021;Cerai Gugat;43;54;282;Peselisihan dan Pertengkaran Terus Menerus;Kec.     Sidoarjo;Kranggan RT 022 RW 004 Kelurahan Sidokumpul Kec.     Sidoarjo;Kec. Sidoarjo;Kranggan RT 002 RW 004 Kelurahan Sidokumpul Kec. Sidoarjo
27491;22/03/2021;Cerai Gugat;33;45;167;Peselisihan dan Pertengkaran Terus Menerus;Kec. Candi Kab. Sidoarjo saat ini kontrak di Desa Punten Kec. Tulangan Kab. Sidoarjo;Kab. Sidoarjo saat ini kontrak di Desa Punten Kec. Tulangan Kab. Sidoarjo;Kec. Candi Kab. Sidoarjo;Kab. Sidoarjo
27492;22/03/2021;Cerai Gugat;23;34;72;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Wonoayu;Kab. Sidoarjo;Kecamatan Tulangan;Kab. Sidoarjo
27494;22/03/2021;Cerai Gugat;54;57;350;Peselisihan dan Pertengkaran Terus Menerus;"Kecamatan 
      Waru Sidoarjo";"Jl . Merbabu D/16 RT.005 RW. 009 Desa Kepuh Kiriman Kecamatan 
      Waru Sidoarjo";Sedati;Kabupaten Sidoarjo
27001;22/03/2021;Cerai Gugat;24;38;8;Ekonomi;Kecamatan Tanggulangin;Kabupaten Sidoarjo;Kecamatan Semampir;Kota Surabaya
27264;22/03/2021;Cerai Gugat;31;34;98;Ekonomi;Kecamatan Candi;Kabupaten Sidoarjo (Belakang Gang Selep Wak Kaji No. 02 dan Depan Musholla Wakaf);Kecamatan Candi;Kabupaten Sidoarjo (Belakang Gang Selep Wak Kaji No. 02 dan Depan Musholla Wakaf)
27551;22/03/2021;Cerai Talak;40;39;143;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Waru;Kabupaten Sidoarjo;Kecamatan Waru;Kabupaten Sidoarjo
27562;22/03/2021;Cerai Gugat;42;56;281;Peselisihan dan Pertengkaran Terus Menerus;Kec.Sidoarjo;Kec.Sidoarjo;Kec.Sidoarjo Domisili sekarang: Gading Fajar 2 Blok D14/4;Kec.Candi
27567;22/03/2021;Cerai Gugat;45;52;321;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan Kabupaten  Sidoarjo;Kabupaten  Sidoarjo;Kecamatan Gedangan Kabupaten Sidoarjo;Kabupaten Sidoarjo
27575;22/03/2021;Cerai Gugat;43;53;213;Peselisihan dan Pertengkaran Terus Menerus;Kec. Tarik Kab. Sidoarjo;Kab. Sidoarjo;Kec. Tarik Kab. Sidoarjo saat ini berada di Dusun Kedung Klinter Kapling Aba Rohmat Blok A No. 8 Desa Kedung Bocok RT. 5 RW. 3 Kec. Tarik Kab. Sidoarjo;Kab. Sidoarjo saat ini berada di Dusun Kedung Klinter Kapling Aba Rohmat Blok A No. 8 Desa Kedung Bocok RT. 5 RW. 3 Kec. Tarik Kab. Sidoarjo
27583;22/03/2021;Cerai Gugat;25;38;49;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan;Kabupaten Sidoarjo;Kecamatan Gedangan;Kabupaten Sidoarjo
27592;22/03/2021;Cerai Talak;41;47;251;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sidoarjo;Kabupaten Sidoarjo. Yang sekarang bertempat tinggal Jl. Raya Gelam No.46 RT.13 RW 03;Kecamatan Sidoarjo;Kabupaten Sidoarjo
26063;22/03/2021;Cerai Gugat;30;30;105;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Buduran;Kabupaten Sidoarjo;Kecamatan Buduran;Kabupaten Sidoarjo
27601;22/03/2021;Cerai Talak;53;39;191;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sedati;Kabupaten Sidoarjo;Kecamatan Sedati;Kabupaten Sidoarjo
25812;22/03/2021;Cerai Talak;52;48;341;Meninggalkan Salah Satu Pihak;Kecamatan Buduran;"Kabupaten Sidoarjo
(Alamat Sekarang) Perumahan Pesona Sari Residence Cluster Sunrise Blok D2";Kecamatan Buduran;Kabupaten Sidoarjo. Sekarang tidak diketahui alamat dan tempat tinggalnya dengan jelas
26073;22/03/2021;Cerai Gugat;37;39;132;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tanggulangin;Kabupaten Sidoarjo;Kecamatan Candi;Kabupaten Sidoarjo
26097;22/03/2021;Cerai Gugat;43;46;229;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan Kabupaten Sidoarjo;Kabupaten Sidoarjo;Kecamatan Gedangan Kabupaten Sidoarjo;Kabupaten Sidoarjo
26113;23/03/2021;Cerai Talak;33;35;152;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan;Kabupaten Sidoarjo;Kecamatan Gedangan;Kabupaten Sidoarjo
27405;23/03/2021;Cerai Talak;55;51;22;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sidoarjo;Kabupaten Sidoarjo;Kecamatan Sidoarjo;Kabupaten Sidoarjo
27157;23/03/2021;Cerai Gugat;47;45;247;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sidoarjo;Kabupaten Sidoarjo;Kecamatan Sidoarjo;Kabupaten Sidoarjo
26393;23/03/2021;Cerai Talak;32;32;106;Peselisihan dan Pertengkaran Terus Menerus;Sidoarjo;Kab. Sidoarjo;Sidoarjo;Kab. Sidoarjo
26910;23/03/2021;Cerai Talak;37;29;50;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Mojoanyar  Kabupaten Mojokerto;Kabupaten Mojokerto;Kecamatan Sidoarjo;Kabupaten Sidoarjo
24115;23/03/2021;Cerai Talak;48;41;207;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sidoarjo;Kabupaten Sidoarjo;Kecamatan Sidoarjo;Kabupaten Sidoarjo
25912;23/03/2021;Cerai Gugat;33;36;33;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Sidoarjo;Kabupaten Sidoarjo;Kecamatan Sidoarjo;Kabupaten Sidoarjo
27740;23/03/2021;Cerai Gugat;33;;171;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kab. Sidoarjo;Kecamatan Taman;Kab. Sidoarjo
27490;23/03/2021;Cerai Gugat;23;26;20;Peselisihan dan Pertengkaran Terus Menerus;Kec. Krembung Kab. Sidoarjo;Kab. Sidoarjo;Kec. Porong Kab. Sidoarjo;Kab. Sidoarjo
27496;23/03/2021;Cerai Gugat;43;44;22;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Candi Kabupaten Sidoarjo.;Kabupaten Sidoarjo.;Kecamatan Candi Kabupaten Sidoarjo.;Kabupaten Sidoarjo.
